地区,新增,现有,累计,治愈,死亡
西藏,0,31,1497,1466,0
澳门,0,1,796,789,6
青海,7,50,375,325,0
台湾,18169,8165301,8193072,13742,14029
香港,919,344120,451444,96701,10623
贵州,20,127,1102,973,2
吉林,13,24,40351,40322,5
新疆,19,585,2396,1808,3
宁夏,1,2,227,225,0
内蒙古,124,1075,6868,5792,1
甘肃,1,108,1516,1406,2
天津,3,80,2570,2487,3
山西,157,1347,2626,1279,0
辽宁,25,104,2180,2074,2
黑龙江,64,238,3806,3555,13
海南,10,37,9025,8982,6
河北,45,76,2118,2035,7
陕西,37,516,4709,4190,3
云南,98,754,3403,2647,2
广西,1,12,2361,2347,2
福建,27,318,5701,5382,1
上海,20,88,64420,63737,595
北京,396,2149,7408,5247,12
江苏,68,373,3172,2799,0
四川,275,1534,8163,6625,4
山东,32,180,3450,3263,7
江西,1,9,1512,1502,1
重庆,216,2170,4138,1962,6
安徽,2,18,1570,1546,6
湖南,13,149,1909,1756,4
河南,115,2477,6169,3669,23
广东,883,9843,26406,16555,8
浙江,33,277,3853,3575,1
湖北,9,59,68502,63931,4512
